Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:36:09,96.8,21.7,1900.48,63800.03
23:36:10,96.9,38.8,1900.48,63800.12
23:36:11,96.8,18.1,1900.49,63800.31
23:36:12,96.8,25,1900.49,63800.47
23:36:13,96.3,99,1900.49,63800.54
23:36:14,96.3,5.1,1900.49,63800.58
23:36:15,96.3,78.9,1900.49,63800.58
23:36:16,96.3,3.5,1900.49,63800.7
23:36:17,96.3,47.3,1900.49,63800.73
23:36:18,96.3,5,1900.49,63800.9
23:36:19,38.4,6.6,1900.5,63800.98
23:36:20,38.4,5.6,1900.51,63801
23:36:21,97.3,28.2,1900.51,63801.54
23:36:22,86.3,45.5,1900.51,63801.63
23:36:23,96.2,11.6,1900.51,63801.72
23:36:24,86.2,9.9,1900.51,63801.83
23:36:25,96.2,11.4,1900.51,63801.99
23:36:26,86.3,18.4,1900.51,63802
23:36:27,96.3,10.3,1900.52,63802.04
23:36:28,86.3,5.8,1900.53,63802.25
23:36:29,38.4,11.6,1900.53,63802.43
23:36:30,38.4,11.9,1900.56,63802.56
23:36:31,38.4,6.5,1900.56,63802.68
23:36:32,38.4,9,1900.56,63802.69
23:36:33,38.4,10,1900.56,63802.87
23:36:34,38.4,47.6,1900.56,63802.99
23:36:36,38.4,4.5,1900.56,63805.12
23:36:37,36.8,10.6,1900.56,63806.84
23:36:38,36.8,4.4,1900.56,63806.86
23:36:39,36.8,4.8,1900.56,63807.55
23:36:40,36.8,8.3,1900.56,63807.57
23:36:41,38.4,13.4,1900.56,63808.89
23:36:42,36.8,24.8,1900.57,63808.35
23:36:43,76.6,19.8,1900.57,63808.39
23:36:44,76.6,8,1900.57,63808.47
23:36:45,76.6,17.9,1900.57,63808.49
23:36:46,76.6,37.7,1900.59,63808.64
23:36:47,76.6,24.2,1900.59,63808.77
23:36:48,76.6,41.2,1900.62,63809.14
23:36:49,76.6,23.3,1900.63,63809.18
23:36:50,76.6,13.2,1900.63,63809.19
23:36:51,76.6,29,1900.63,63809.21
23:36:52,76.6,33.5,1900.63,63809.48
23:36:53,76.5,23.3,1900.63,63809.59
23:36:54,76.5,14.8,1900.63,63809.6
23:36:55,76.5,8.4,1900.63,63809.76
23:36:56,76.5,74.7,1900.64,63809.78
23:36:57,76.5,25.9,1900.64,63310.12
23:36:58,26.4,23,1900.67,63310.31
23:36:59,36.8,82.9,1900.68,63310.38
23:37:00,36.8,14.5,1900.68,63310.83
23:37:01,36.8,21.5,1900.68,63310.86
23:37:02,36.8,10.2,1900.68,63310.98
23:37:03,36.8,16.2,1900.72,63311.09
23:37:04,36.8,21.2,1900.72,63311.12
23:37:05,36.8,18.1,1900.72,63311.18
23:37:07,38.4,14.6,1900.72,63311.18
23:37:08,38.4,10.4,1900.73,63311.89
23:37:09,38.4,10.5,1900.73,63311.29
