ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
33.69,84.67,1900.48,63800.03
41.27,78.5,1900.48,63800.12
60.08,3.44,1900.49,63800.31
71.18,68.79,1900.49,63800.47
53.15,56.35,1900.49,63800.54
61.49,15.84,1900.49,63800.58
38.04,48.72,1900.49,63800.58
36.27,62.72,1900.49,63800.7
59.59,3.88,1900.49,63800.73
50.83,23.76,1900.49,63800.9
30.55,89.45,1900.5,63800.98
64.84,70.86,1900.51,63801
66.59,88.97,1900.51,63801.54
56.76,18.87,1900.51,63801.63
36.4,17.3,1900.51,63801.72
26.16,64.77,1900.51,63801.83
27.32,66.45,1900.51,63801.99
69.21,5.45,1900.51,63802
66.43,85.99,1900.52,63802.04
45.41,57.32,1900.53,63802.25
65.76,67.47,1900.53,63802.43
52.27,48.77,1900.56,63802.56
60.93,37.42,1900.56,63802.68
54.08,63.85,1900.56,63802.69
47.69,85.97,1900.56,63802.87
54.34,20.53,1900.56,63802.99
63.41,87.64,1900.56,63805.12
79.13,58.83,1900.56,63806.84
94.01,38.19,1900.56,63806.86
74.75,71.61,1900.56,63807.55
67.54,54.56,1900.56,63807.57
79.09,39.48,1900.56,63808.89
64.16,21.77,1900.57,63808.35
76.69,46.11,1900.57,63808.39
61.45,24.91,1900.57,63808.47
84.26,48.78,1900.57,63808.49
67.34,67.97,1900.59,63808.64
73.84,12.1,1900.59,63808.77
70.14,24.02,1900.62,63809.14
75.6,20.17,1900.63,63809.18
56.55,3.08,1900.63,63809.19
37.61,7.91,1900.63,63809.21
25.38,6.41,1900.63,63809.48
40.89,35.32,1900.63,63809.59
57.41,18.87,1900.63,63809.6
48,25.77,1900.63,63809.76
58.79,58.87,1900.64,63809.78
72.53,58.9,1900.64,63310.12
60.61,47.89,1900.67,63310.31
71.6,15.23,1900.68,63310.38
74.35,33.32,1900.68,63310.83
79.34,53.32,1900.68,63310.86
88.83,22.93,1900.68,63310.98
74.05,49.68,1900.72,63311.09
78.24,46.16,1900.72,63311.12
79.78,76.41,1900.72,63311.18
